videoId,playlist_id,brand,title,viewCount,likeCount,commentCount,publishedAt,duration_seconds
FtYSUASm0h0,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,DS,DS Automobiles ｜ Collection « ANTOINE DE SAINT EXUPÉRY »,684,7,0,2024-06-19 23:00:06+00:00,61
E8hWeBO7Rw8,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,GEELY,Essai du GEELY Coolray 2024 Maroc - تجربة قيادة المغرب,16025,85,19,2024-06-11 21:30:06+00:00,413
00WhGNfM2qQ,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,AUTRE / MULTI-MARQUES,NEO Motors Maroc inaugure son premier showroom,15985,167,43,2024-06-11 13:15:06+00:00,133
LaqBcXzQ_nk,PLlvsaB0FDEJEJQRAErI6gWgLDr-3myio1,AUTRE / MULTI-MARQUES,AUTO HEBDO - EP75 - 8 juin 2024,1817,14,2,2024-06-07 22:00:06+00:00,282
MwUol1US4K0,PLlvsaB0FDEJFZxc1DFcxPny2lFNj6djgG,VW,5 étoiles pour le VW Tiguan 2024,3530,21,0,2024-06-04 20:30:04+00:00,162
N4IX7lciEE8,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,AUTRE / MULTI-MARQUES,GREAT WALL Motor : lancement au Maroc,6907,62,4,2024-06-02 21:30:07+00:00,331
4O5ufFsvj_I,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,KIA,Nouveau KIA EV3 ｜ Empower Your Life !,3398,18,0,2024-06-02 16:45:00+00:00,291
xpL0HE14HYQ,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,PORSCHE,Nouveau PORSCHE Taycan arrive au Maroc,2450,19,1,2024-05-30 21:30:07+00:00,360
XG51WSIeBZA,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,JEEP,JEEP Avenger 2024 : lancement au Maroc,21887,56,19,2024-05-29 21:30:06+00:00,243
zLFn92wFmFM,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,ALFA ROMEO,Essai ALFA ROMEO Stelvio 2024 Maroc - تجربة قيادة المغرب,6730,44,2,2024-05-28 21:30:06+00:00,357
rQDxXVus4bA,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,CITROËN,Essai CITROËN Berlingo 2024 Maroc - تجربة قيادة المغرب,50746,359,44,2024-05-20 21:30:06+00:00,363
